id	articule	modelcode	colour	size	firstsize	gender	brand	itemgroup	name	consist	provider	manufacturer	country	imagecount	price	sale	count	season	desc		htrih code
1	IU0IU00140	00-00000003	серебряный	One Size		3	Calvin Klein	Аксессуары	Сумка кроссовер	100% полиэстер	0	Calvin Klein Europe B.V.	КИТАЙ	0	4 999	0	1,000	Prefall 2020	1		8719852876436
2	IG0IG00605	00-00000008	серый	128		3	Calvin Klein	Одежда	Платье	73% хлопок, 27% полиэстер	0	Calvin Klein Europe B.V.	КИТАЙ	0	9 299	0	1,000	Prefall 2020	1		8719852952031
3	IB0IB00347	00-00000014	синий	128		3	Calvin Klein	Одежда	Футболка с коротким рукавом	100% Органический хлопок	0	Calvin Klein Europe B.V.	ШРИ-ЛАНКА	0	3 148	0	1,000	SS 2021	1		8719853463390
4	IG0IG00581	00-00000032	белый	128		3	Calvin Klein	Одежда	Толстовка-свитшот	100% Органический хлопок	0	Calvin Klein Europe B.V.	ТУРЦИЯ	0	7 999	0	1,000	Prefall 2020	1		8719852877709
5	IB0IB00557	00-00000041	желтый	128		3	Calvin Klein	Верхняя одежда	Куртка пуховая	100% переработанный полиэстер	0	Calvin Klein Europe B.V.	КИТАЙ	0	20 999	0	1,000	Prefall 2020	1		8719853239216
6	IB0IB00557	00-00000041	черный	176		3	Calvin Klein	Верхняя одежда	Куртка пуховая	100% переработанный полиэстер	0	Calvin Klein Europe B.V.	КИТАЙ	0	20 999	0	1,000	Prefall 2020	1		8719852948904
7	IG0IG00596	00-00000045	черный	176		3	Calvin Klein	Верхняя одежда	Куртка	100% полиамид	0	Calvin Klein Europe B.V.	КИТАЙ	0	26 999	0	1,000	Prefall 2020	1		8719852952147
8	IB0IB00505	00-00000050	синий	140		3	Calvin Klein	Одежда	Джинсы слимы	74% Хлопок, 25% Полиэстер, 1% Эластан	0	Calvin Klein Europe B.V.	БАНГЛАДЕШ	0	7 499	0	1,000	Prefall 2020	1		8719852878447
9	IB0IB00507	00-00000051	синий	164		3	Calvin Klein	Одежда	Джинсы скини	74% Хлопок, 25% Полиэстер, 1% Эластан	0	Calvin Klein Europe B.V.	БАНГЛАДЕШ	0	7 499	0	1,000	Prefall 2020	1		8719852878003
10	IG0IG00546	00-00000053	синий	164		3	Calvin Klein	Одежда	Джинсы скини	74% Хлопок, 25% Полиэстер, 1% Эластан	0	Calvin Klein Europe B.V.	БАНГЛАДЕШ	0	7 499	0	1,000	Prefall 2020	1		8719852884561
11	IG0IG00546	00-00000053	синий	176		3	Calvin Klein	Одежда	Джинсы скини	74% Хлопок, 25% Полиэстер, 1% Эластан	0	Calvin Klein Europe B.V.	БАНГЛАДЕШ	0	7 499	0	1,000	Prefall 2020	1		8719852884608
12	IG0IG00551	00-00000056	синий	176		3	Calvin Klein	Одежда	Джинсы скини	98% хлопок, 2% эластан	0	Calvin Klein Europe B.V.	БАНГЛАДЕШ	0	8 499	0	1,000	Prefall 2020	1		8719852877839
13	IG0IG00551	00-00000056	синий	128		3	Calvin Klein	Одежда	Джинсы скини	98% хлопок, 2% эластан	0	Calvin Klein Europe B.V.	БАНГЛАДЕШ	0	8 499	0	1,000	Prefall 2020	1		8719852877259
14	IU0IU00125	00-00000059	бежевый	L-XL		3	Calvin Klein	Аксессуары	Ремень	100% полиэстер	0	HANGZHOU HS FASHION CORPORATION LTD	КИТАЙ	0	2 752	0	1,000	Fall 2021	1		8719854602163
15	IU0IU00125	00-00000059	розовый	L-XL		3	Calvin Klein	Аксессуары	Ремень	100% полиэстер	0	HANGZHOU HS FASHION CORPORATION LTD	КИТАЙ	0	2 752	0	2,000	Fall 2021	1		8719852988320
16	IU0IU00125	00-00000059	розовый	L-XL		3	Calvin Klein	Аксессуары	Ремень	100% полиэстер	0	HANGZHOU HS FASHION CORPORATION LTD	КИТАЙ	0	2 752	0	2,000	Fall 2021	1		8719854606093
17	IU0IU00125	00-00000059	розовый	S-M		3	Calvin Klein	Аксессуары	Ремень	100% полиэстер	0	HANGZHOU HS FASHION CORPORATION LTD	КИТАЙ	0	2 752	0	2,000	Fall 2021	1		8719852988306
18	IU0IU00125	00-00000059	розовый	S-M		3	Calvin Klein	Аксессуары	Ремень	100% полиэстер	0	HANGZHOU HS FASHION CORPORATION LTD	КИТАЙ	0	2 752	0	2,000	Fall 2021	1		8719854606062
19	IB0IB00558	00-00000068	черный	152		3	Calvin Klein	Верхняя одежда	Куртка парка	100% переработанный полиэстер	0	Calvin Klein Europe B.V.	КИТАЙ	0	24 599	0	1,000	Prefall 2020	1		8719852948027
20	IB0IB00558	00-00000068	черный	128		3	Calvin Klein	Верхняя одежда	Куртка парка	100% переработанный полиэстер	0	Calvin Klein Europe B.V.	КИТАЙ	0	24 599	0	2,000	Prefall 2020	1		8719852947952
21	IG0IG00594	00-00000072	черный	128		3	Calvin Klein	Верхняя одежда	Куртка пальто пуховая	100% переработанный полиэстер	0	Calvin Klein Europe B.V.	КИТАЙ	0	24 599	0	1,000	Prefall 2020	1		8719852953496
22	KG0KG05198	00-00000121	голубой	164		3	Tommy Hilfiger	Одежда	Джинсы прямые	98% хлопок, 2% эластан	0	Tommy Hilfiger Europe B.V.	БАНГЛАДЕШ	0	8 599	0	1,000	Prefall 2020	1		8719862904075
23	KG0KG05198	00-00000121	голубой	176		3	Tommy Hilfiger	Одежда	Джинсы прямые	98% хлопок, 2% эластан	0	Tommy Hilfiger Europe B.V.	БАНГЛАДЕШ	0	8 599	0	1,000	Prefall 2020	1		8719862904297
24	KG0KG05192	00-00000139	синий	140		3	Tommy Hilfiger	Одежда	Джинсы скини	74% Хлопок, 25% Полиэстер, 1% Эластан	0	Tommy Hilfiger Europe B.V.	БАНГЛАДЕШ	0	7 499	0	1,000	Prefall 2020	1		8719862904068
25	KG0KG05192	00-00000139	синий	176		3	Tommy Hilfiger	Одежда	Джинсы скини	74% Хлопок, 25% Полиэстер, 1% Эластан	0	Tommy Hilfiger Europe B.V.	БАНГЛАДЕШ	0	7 499	0	1,000	Prefall 2020	1		8719862904464
26	KB0KB05792	00-00000145	голубой	176		3	Tommy Hilfiger	Одежда	Джинсы скини	72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН	0	Tommy Hilfiger Europe B.V.	БАНГЛАДЕШ	0	9 799	0	1,000	Prefall 2020	1		8719862943906
27	KB0KB05792	00-00000145	голубой	128		3	Tommy Hilfiger	Одежда	Джинсы скини	72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН	0	Tommy Hilfiger Europe B.V.	БАНГЛАДЕШ	0	9 799	0	1,000	Prefall 2020	1		8719862942961
28	9CCURU-038-31-34	00-00000215	джинс меланж	31-34		3	Норвег	Носки	Climate Control Носки	61 % шерсть мериносов, 40% поликолон (РР)	0	Норвег		0	878	0	2,000	Fall 2020	1		4640026394880
29	4CCU003RU-014-128-134	00-00000227	серый меланж	128-134		3	Норвег	Термобельё	Climate Control Штанишки детские	100% шерсть мериносов	0	Норвег		0	3 056	0	1,000	Fall 2020	1		4640026392404
30	9CRCURU-192-31-34	00-00000235	 коричневый + оранжевый	31-34		3	Норвег	Носки	Cross Country Носки детские	80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра	0	Норвег		0	916	0	1,000	Fall 2020	1		4640026397706
31	9CRCURU-192-35-38	00-00000236	 коричневый + оранжевый	35-38		3	Норвег	Носки	Cross Country Носки детские	80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра	0	Норвег		0	916	0	1,000	Fall 2020	1		4640026397713
32	9CRCURU-172-35-38	00-00000238	 серый-лайм	35-38		3	Норвег	Носки	Cross Country Носки детские	80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра	0	Норвег		0	916	0	2,000	Fall 2020	1		4640026394941
33	9DFURU-185-31-34	00-00000239	черный с серой полосой	31-34		3	Норвег	Носки	Dry Feet Носки детские	60% шерсть мериносов, 37% поликолон (РР), 3% лайкра	0	Норвег		0	916	0	1,000	Fall 2020	1		4640026395009
34	9ICSURU-011-31-34	00-00000241	Молочный	31-34		3	Норвег	Носки	Ice skating Носки детские для коньков	60% шерсть мериносов, 30% поликолон (РР), 7% полиамид, 3% лайкра	0	Норвег		0	916	0	1,000	Fall 2020	1		4640026395047
35	9ICSURU-011-35-38	00-00000242	Молочный	35-38		3	Норвег	Носки	Ice skating Носки детские для коньков	60% шерсть мериносов, 30% поликолон (РР), 7% полиамид, 3% лайкра	0	Норвег		0	916	0	2,000	Fall 2020	1		4640026395054
36	9WURU-001-31-34	00-00000243	белый	31-34		3	Норвег	Носки	Merino Wool Носки детские	87% шерсть мериносов, 10% полиэстер, 3% эластан	0	Норвег		0	522	0	2,000	Fall 2020	1		4640026395894
37	9WURU-018-31-34	00-00000245	коричневый	31-34		3	Норвег	Носки	Merino Wool Носки детские	87% шерсть мериносов, 10% полиэстер, 3% эластан	0	Норвег		0	522	0	2,000	Fall 2020	1		4640026399724
38	9WURU-042-31-34	00-00000246	розовый	31-34		3	Норвег	Носки	Merino Wool Носки детские	87% шерсть мериносов, 10% полиэстер, 3% эластан	0	Норвег		0	522	0	1,000	Fall 2020	1		4640026395641
39	9WURU-042-35-38	00-00000247	розовый	35-38		3	Норвег	Носки	Merino Wool Носки детские	87% шерсть мериносов, 10% полиэстер, 3% эластан	0	Норвег		0	522	0	1,000	Fall 2020	1		4640026395658
40	9WURU-002-31-34	00-00000250	черный	31-34		3	Норвег	Носки	Merino Wool Носки детские	87% шерсть мериносов, 10% полиэстер, 3% эластан	0	Норвег		0	522	0	1,000	Fall 2020	1		4640026395795
41	9MURU-012-31-34	00-00000252	серо-красный	31-34		3	Норвег	Носки	Multifunctional  Носки детские	65% шерсть мериносов, 15% полиэстер, 5% эластан, 15% поликолон (РР)	0	Норвег		0	656	0	2,000	Fall 2020	1		4640026393623
42	9MURU-012-35-38	00-00000253	серо-красный	35-38		3	Норвег	Носки	Multifunctional  Носки детские	65% шерсть мериносов, 15% полиэстер, 5% эластан, 15% поликолон (РР)	0	Норвег		0	656	0	2,000	Fall 2020	1		4640026393630
43	9MURU-041-31-34	00-00000256	темно-серый	31-34		3	Норвег	Носки	Multifunctional  Носки детские	65% шерсть мериносов, 15% полиэстер, 5% эластан, 15% поликолон (РР)	0	Норвег		0	656	0	1,000	Fall 2020	1		4640026393678
44	9SMURU-012-35-38	00-00000261	красный	35-38		3	Норвег	Носки	Soft Merino Wool Носки детские	87% шерсть мериносов, 10% полиэстер, 3% эластан	0	Норвег		0	722	0	1,000	Fall 2020	1		4640026396051
45	9SMURU-013-35-38	00-00000263	синий	35-38		3	Норвег	Носки	Soft Merino Wool Носки детские	87% шерсть мериносов, 10% полиэстер, 3% эластан	0	Норвег		0	722	0	1,000	Fall 2020	1		4640026398475
46	9SMURU-002-31-34	00-00000266	черный	31-34		3	Норвег	Носки	Soft Merino Wool Носки детские	87% шерсть мериносов, 10% полиэстер, 3% эластан	0	Норвег		0	722	0	1,000	Fall 2020	1		4640026396099
47	7SWVU-001	00-00000290	белый	One Size		3	Норвег	Шарфы	"Снуд (шарф ""труба"")"	100% extrafine merino wool	0	Норвег		0	1 944	0	1,000	Fall 2020	1		4660025254459
48	IG0IG00704	00-00000326	черный	140		3	Calvin Klein	Верхняя одежда	Куртка пуховая	83% Полиамид, 17% Эластан	0	Calvin Klein Europe B.V.	КИТАЙ	0	21 999	0	1,000	Fall 2020	1		8719853266014
49	IG0IG00704	00-00000326	черный	164		3	Calvin Klein	Верхняя одежда	Куртка пуховая	83% Полиамид, 17% Эластан	0	Calvin Klein Europe B.V.	КИТАЙ	0	21 999	0	1,000	Fall 2020	1		8719853266038
50	IG0IG00704	00-00000326	черный	176		3	Calvin Klein	Верхняя одежда	Куртка пуховая	83% Полиамид, 17% Эластан	0	Calvin Klein Europe B.V.	КИТАЙ	0	21 999	0	1,000	Fall 2020	1		8719853266045
51	IG0IG00704	00-00000326	черный	128		3	Calvin Klein	Верхняя одежда	Куртка пуховая	83% Полиамид, 17% Эластан	0	Calvin Klein Europe B.V.	КИТАЙ	0	21 999	0	1,000	Fall 2020	1		8719853266007
52	IG0IG00647	00-00000328	розовый	176		3	Calvin Klein	Одежда	Брюки	96% хлопок, 4% эластан	0	Calvin Klein Europe B.V.		0	8 099	0	1,000	Fall 2020	1		8719853268186
53	IG0IG00647	00-00000328	розовый	128		3	Calvin Klein	Одежда	Брюки	96% хлопок, 4% эластан	0	Calvin Klein Europe B.V.		0	8 099	0	1,000	Fall 2020	1		8719853268070
54	IG0IG00380	00-00000330	зеленый	164		3	Calvin Klein	Одежда	Футболка с коротким рукавом	100% Органический хлопок	0	Calvin Klein Europe B.V.	ШРИ-ЛАНКА	0	3 299	0	1,000	Fall 2020	1		8719853692639
55	IG0IG00380	00-00000330	зеленый	176		3	Calvin Klein	Одежда	Футболка с коротким рукавом	100% Органический хлопок	0	Calvin Klein Europe B.V.	ШРИ-ЛАНКА	0	3 299	0	1,000	Fall 2020	1		8719853692646
56	IG0IG00380	00-00000330	зеленый	128		3	Calvin Klein	Одежда	Футболка с коротким рукавом	100% Органический хлопок	0	Calvin Klein Europe B.V.	ШРИ-ЛАНКА	0	3 299	0	1,000	Fall 2020	1		8719853692608
57	IB0IB00759	00-00000337	черный	128		3	Calvin Klein	Верхняя одежда	Куртка пуховая	83% Полиамид, 17% Эластан	0	Calvin Klein Europe B.V.	КИТАЙ	0	24 999	0	1,000	Fall 2020	1		8719853253496
58	6406001	00-00000343	черный	31		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 900	0	2,000	Fall 2020	1		2000000000017
59	6406001	00-00000343	черный	32		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 900	0	2,000	Fall 2020	1		2000000000016
60	6406001	00-00000343	черный	33		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 900	0	1,000	Fall 2020	1		2000000000015
61	6406001	00-00000343	черный	34		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 900	0	2,000	Fall 2020	1		2000000000183
62	6406001	00-00000343	черный	35		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 900	0	1,000	Fall 2020	1		2000000000190
63	6406001	00-00000343	черный	36		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 900	0	1,000	Fall 2020	1		2000000000206
64	60428	00-00000344	хаки	31		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 000	0	1,000	Fall 2020	1		2000000000159
65	60428	00-00000344	черный	37		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 125	0	1,000	Fall 2020	1		2000000000021
66	60428	00-00000344	черный	38		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 125	0	1,000	Fall 2020	1		2000000000020
67	2003743	00-00000345	черный	31		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	6 350	0	1,000	Fall 2020	1		2000000000037
68	2003743	00-00000345	черный	33		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	6 350	0	1,000	Fall 2020	1		2000000000035
69	2003743	00-00000345	черный	37		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	6 750	0	1,000	Fall 2020	1		2000000000031
70	2003743	00-00000345	черный	38		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	6 750	0	2,000	Fall 2020	1		2000000000030
71	2003743	00-00000345	черный	39		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	6 750	0	1,000	Fall 2020	1		2000000000029
72	2003743	00-00000345	черный	40		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	6 750	0	2,000	Fall 2020	1		2000000000028
73	2003415-1	00-00000346	желтый	39		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	8 125	0	1,000	Fall 2020	1		2000000000074
74	2003415-1	00-00000346	синий	31		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 750	0	2,000	Fall 2020	1		2000000000068
75	2003415-1	00-00000346	синий	32		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 750	0	1,000	Fall 2020	1		2000000000067
76	2003415-1	00-00000346	синий	33		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 750	0	1,000	Fall 2020	1		2000000000066
77	2003415-1	00-00000346	черный	31		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 750	0	2,000	Fall 2020	1		2000000000047
78	2003415-1	00-00000346	черный	32		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	7 750	0	2,000	Fall 2020	1		2000000000046
79	2003415-1	00-00000346	черный	38		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	8 125	0	1,000	Fall 2020	1		2000000000040
80	2003415-1	00-00000346	черный	40		3	K.PAFI	Обувь	Детские кожаные ботинки для мальчика		0	K.PAFI	ТУРЦИЯ	0	8 125	0	2,000	Fall 2020	1		2000000000038
81	6801080	00-00000349	серебряный счерным	32		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	1,000	Fall 2020	1		2000000000121
82	6801080	00-00000349	серебряный счерным	33		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	2,000	Fall 2020	1		2000000000120
83	6801080	00-00000349	серебряный счерным	34		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	1,000	Fall 2020	1		2000000000119
84	6801080	00-00000349	серебряный счерным	36		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	2,000	Fall 2020	1		2000000000117
85	6801080	00-00000349	серебряный счерным	37		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	2,000	Fall 2020	1		2000000000116
86	6801080	00-00000349	черный	32		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	2,000	Fall 2020	1		2000000000082
87	6801080	00-00000349	черный	33		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	1,000	Fall 2020	1		2000000000081
88	6801080	00-00000349	черный	34		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	1,000	Fall 2020	1		2000000000080
89	6801080	00-00000349	черный	36		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	2,000	Fall 2020	1		2000000000078
90	6801080	00-00000349	черный	37		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 500	0	2,000	Fall 2020	1		2000000000077
91	5208	00-00000350	черный	31		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	6 925	0	2,000	Fall 2020	1		2000000000091
92	5208	00-00000350	черный	32		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	6 925	0	1,000	Fall 2020	1		2000000000090
93	5208	00-00000350	черный	33		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	6 925	0	1,000	Fall 2020	1		2000000000089
94	5208	00-00000350	черный	37		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	1,000	Fall 2020	1		2000000000085
95	5208	00-00000350	черный	38		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	1,000	Fall 2020	1		2000000000084
96	5208	00-00000350	черный	39		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	2,000	Fall 2020	1		2000000000083
97	5206	00-00000351	зеленый	37		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	4,000	Fall 2020	1		2000000000213
98	5206	00-00000351	зеленый	38		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	2,000	Fall 2020	1		2000000000237
99	5206	00-00000351	зеленый	39		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	2,000	Fall 2020	1		2000000000220
100	5206	00-00000351	черный	37		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	2,000	Fall 2020	1		2000000000094
101	5206	00-00000351	черный	38		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	2,000	Fall 2020	1		2000000000093
102	5206	00-00000351	черный	39		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	1,000	Fall 2020	1		2000000000092
103	5201	00-00000352	зеленый	37		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 300	0	4,000	Fall 2020	1		2000000000138
104	5201	00-00000352	зеленый	38		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 300	0	4,000	Fall 2020	1		2000000000139
105	5201	00-00000352	зеленый	39		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 300	0	2,000	Fall 2020	1		2000000000140
106	5201	00-00000352	черный	37		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 300	0	2,000	Fall 2020	1		2000000000097
107	5201	00-00000352	черный	38		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	8 300	0	1,000	Fall 2020	1		2000000000096
108	410845	00-00000353	серебряный	37		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	6 925	0	1,000	Fall 2020	1		2000000000155
109	410845	00-00000353	черный	39		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	1,000	Fall 2020	1		2000000000105
110	410845	00-00000353	черный	40		3	K.PAFI	Обувь	Детские кожаные ботинки для девочки		0	K.PAFI	ТУРЦИЯ	0	7 325	0	2,000	Fall 2020	1		2000000000104
111	Топ 385	00-00000358	кофейный	One Size		3	WAGCONCEPT	Шапки	Шапка	50%cotton, 10% viscose, 40% poliacryl	0	ИП Топорков	РОССИЯ	0	960	0	1,000	FW 21/22	1		4601385143526
112	PB282	00-00000361	бирюзовый	One Size		3	WAGCONCEPT	Шапки	Шапка	30% mohair, 40% wool, 30% poliacrylic	0	ИП Топорков	РОССИЯ	0	1 500	0	1,000	FW 21/22	1		4602284200815
113	YU-01	00-00000363	белый/синий	140-152		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000251
114	YU-01	00-00000363	белый/синий	152-164		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000252
115	YU-01	00-00000363	белый/синий	116-128		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000253
116	YU-01	00-00000363	белый/синий	128-140		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000254
117	YU-02	00-00000364	белый/синий/зеленый	140-152		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000255
118	YU-02	00-00000364	белый/синий/зеленый	152-164		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000256
119	YU-02	00-00000364	белый/синий/зеленый	116-128		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000257
120	YU-02	00-00000364	белый/синий/зеленый	128-140		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000258
121	YU-03	00-00000365	белый/синий/бодовый	140-152		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000259
122	YU-03	00-00000365	белый/синий/бодовый	152-164		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000260
123	YU-03	00-00000365	белый/синий/бодовый	116-128		3	Yula	Колготки	колготки набор 5 шт.	92% полиамид, 8% эластан.	0	"ООО ""Юла"""	РОССИЯ	0	3 700	0	1,000	FW 21/22	1		2000000000261
