id;articule;modelcode;colour;size;firstsize;gender;brand;itemgroup;name;consist;provider;manufacturer;country;imagecount;price;sale;count;season;description
1;IU0IU00140;00-00000003;серебряный;OS;;3;;Аксессуары;Сумка кроссовер;100% полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;4999;0;1;Prefall 2020;1
2;IG0IG00605;00-00000008;серый;8;;3;;Одежда;Платье;73% хлопок, 27% полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;9299;0;1;Prefall 2020;1
3;IB0IB00347;00-00000014;синий;8;;3;Calvin Klein;Одежда;Футболка с коротким рукавом;100% Органический хлопок;;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;0;3148;0;1;SS-21;1
4;IG0IG00581;00-00000032;белый;8;;3;;Одежда;Толстовка-свитшот;100% Органический хлопок;;Calvin Klein Europe B.V.;ТУРЦИЯ;0;7999;0;1;Prefall 2020;1
5;IB0IB00557;00-00000041;желтый;8;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;20999;0;1;Prefall 2020;1
6;IB0IB00557;00-00000041;черный;16;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;20999;0;1;Prefall 2020;1
7;IG0IG00596;00-00000045;черный;16;;3;;Верхняя одежда;Куртка;100% полиамид;;Calvin Klein Europe B.V.;КИТАЙ;0;26999;0;1;Prefall 2020;1
8;IB0IB00505;00-00000050;синий;10;;3;;Одежда;Джинсы слимы;74% Хлопок, 25% Полиэстер, 1% Эластан;;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
9;IB0IB00507;00-00000051;синий;14;;3;;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;;Calvin Klein Europe B.V.;;0;7499;0;1;Prefall 2020;1
10;IG0IG00546;00-00000053;синий;14;;3;;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
11;IG0IG00546;00-00000053;синий;16;;3;;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
12;IG0IG00551;00-00000056;синий;16;;3;;Одежда;Джинсы скини;98% хлопок, 2% эластан;;Calvin Klein Europe B.V.;;0;8499;0;1;Prefall 2020;1
13;IG0IG00551;00-00000056;синий;8;;3;;Одежда;Джинсы скини;98% хлопок, 2% эластан;;Calvin Klein Europe B.V.;;0;8499;0;1;Prefall 2020;1
14;IU0IU00125;00-00000059;бежевый;L-XL;;3;Calvin Klein;Аксессуары;Ремень;100% полиэстер;;HANGZHOU HS FASHION CORPORATION LTD;КИТАЙ;0;2752;0;1;Fall 2021;1
15;IU0IU00125;00-00000059;розовый;L-XL;;3;Calvin Klein;Аксессуары;Ремень;100% полиэстер;;HANGZHOU HS FASHION CORPORATION LTD;КИТАЙ;0;2752;0;2;Fall 2021;1
16;IU0IU00125;00-00000059;розовый;S-M;;3;Calvin Klein;Аксессуары;Ремень;100% полиэстер;;HANGZHOU HS FASHION CORPORATION LTD;КИТАЙ;0;2752;0;2;Fall 2021;1
17;IB0IB00558;00-00000068;черный;12;;3;;Верхняя одежда;Куртка парка;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;24599;0;1;Prefall 2020;1
18;IB0IB00558;00-00000068;черный;8;;3;;Верхняя одежда;Куртка парка;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;24599;0;2;Prefall 2020;1
19;IG0IG00594;00-00000072;черный;8;;3;;Верхняя одежда;Куртка пальто пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;24599;0;1;Prefall 2020;1
20;KG0KG05198;00-00000121;голубой;14;;3;;Одежда;Джинсы прямые;98% хлопок, 2% эластан;;Tommy Hilfiger Europe B.V.;;0;8599;0;1;Prefall 2020;1
21;KG0KG05198;00-00000121;голубой;16;;3;;Одежда;Джинсы прямые;98% хлопок, 2% эластан;;Tommy Hilfiger Europe B.V.;;0;8599;0;1;Prefall 2020;1
22;KG0KG05192;00-00000139;синий;10;;3;;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
23;KG0KG05192;00-00000139;синий;16;;3;;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
24;KB0KB05792;00-00000145;голубой;16;;3;;Одежда;Джинсы скини;72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН;;Tommy Hilfiger Europe B.V.;;0;9799;0;1;Prefall 2020;1
25;KB0KB05792;00-00000145;голубой;8;;3;;Одежда;Джинсы скини;72% ХЛОПОК, 20% ПЕРЕРАБОТАННЫЙ ХЛОПОК, 4% ПОЛИЭСТЕР, 4% ЭЛАСТАН;;Tommy Hilfiger Europe B.V.;;0;9799;0;1;Prefall 2020;1
26;9CCURU-038-31-34;00-00000215;джинс меланж;31-34;;3;;Норвег;Climate Control Носки;61 % шерсть мериносов, 40% поликолон (РР);;Норвег;;0;878;0;2;;1
27;4CCU003RU-014-128-134;00-00000227;серый меланж;128-134;;3;;Норвег;Climate Control Штанишки детские;100% шерсть мериносов;;Норвег;;0;3056;0;1;;1
28;9CRCURU-192-31-34;00-00000235; коричневый + оранжевый;31-34;;3;;Норвег;Cross Country Носки детские;80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра;;Норвег;;0;916;0;1;;1
29;9CRCURU-192-35-38;00-00000236; коричневый + оранжевый;35-38;;3;;Норвег;Cross Country Носки детские;80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра;;Норвег;;0;916;0;1;;1
30;9CRCURU-172-35-38;00-00000238; серый-лайм;35-38;;3;;Норвег;Cross Country Носки детские;80% шерсть мериносов, 10% полиамид, 7% полипропилен, 3% лайкра;;Норвег;;0;916;0;2;;1
31;9DFURU-185-31-34;00-00000239;черный с серой полосой;31-34;;3;;Норвег;Dry Feet Носки детские;60% шерсть мериносов, 37% поликолон (РР), 3% лайкра;;Норвег;;0;916;0;1;;1
32;9ICSURU-011-31-34;00-00000241;Молочный;31-34;;3;;Норвег;Ice skating Носки детские для коньков;60% шерсть мериносов, 30% поликолон (РР), 7% полиамид, 3% лайкра;;Норвег;;0;916;0;1;;1
33;9ICSURU-011-35-38;00-00000242;Молочный;35-38;;3;;Норвег;Ice skating Носки детские для коньков;60% шерсть мериносов, 30% поликолон (РР), 7% полиамид, 3% лайкра;;Норвег;;0;916;0;2;;1
34;9WURU-001-31-34;00-00000243;белый;31-34;;3;;Норвег;Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;;Норвег;;0;522;0;2;;1
35;9WURU-018-31-34;00-00000245;коричневый;31-34;;3;;Норвег;Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;;Норвег;;0;522;0;2;;1
36;9WURU-042-31-34;00-00000246;розовый;31-34;;3;;Норвег;Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;;Норвег;;0;522;0;1;;1
37;9WURU-042-35-38;00-00000247;розовый;35-38;;3;;Норвег;Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;;Норвег;;0;522;0;1;;1
38;9WURU-002-31-34;00-00000250;черный;31-34;;3;;Норвег;Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;;Норвег;;0;522;0;1;;1
39;9MURU-012-31-34;00-00000252;серо-красный;31-34;;3;;Норвег;Multifunctional  Носки детские;65% шерсть мериносов, 15% полиэстер, 5% эластан, 15% поликолон (РР);;Норвег;;0;656;0;2;;1
40;9MURU-012-35-38;00-00000253;серо-красный;35-38;;3;;Норвег;Multifunctional  Носки детские;65% шерсть мериносов, 15% полиэстер, 5% эластан, 15% поликолон (РР);;Норвег;;0;656;0;2;;1
41;9MURU-041-31-34;00-00000256;темно-серый;31-34;;3;;Норвег;Multifunctional  Носки детские;65% шерсть мериносов, 15% полиэстер, 5% эластан, 15% поликолон (РР);;Норвег;;0;656;0;1;;1
42;9SMURU-012-35-38;00-00000261;красный;35-38;;3;;Норвег;Soft Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;;Норвег;;0;722;0;1;;1
43;9SMURU-013-35-38;00-00000263;синий;35-38;;3;;Норвег;Soft Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;;Норвег;;0;722;0;1;;1
44;9SMURU-002-31-34;00-00000266;черный;31-34;;3;;Норвег;Soft Merino Wool Носки детские;87% шерсть мериносов, 10% полиэстер, 3% эластан;;Норвег;;0;722;0;1;;1
45;7SWVU-001;00-00000290;белый;One Size;;3;;Норвег;"Снуд (шарф ""труба"")";100% extrafine merino wool;;Норвег;;0;1944;0;1;;1
46;IG0IG00704;00-00000326;черный;10;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;83% Полиамид, 17% Эластан;;Calvin Klein Europe B.V.;КИТАЙ;0;21999;0;1;Fall 2020;1
47;IG0IG00704;00-00000326;черный;14;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;83% Полиамид, 17% Эластан;;Calvin Klein Europe B.V.;КИТАЙ;0;21999;0;1;Fall 2020;1
48;IG0IG00704;00-00000326;черный;16;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;83% Полиамид, 17% Эластан;;Calvin Klein Europe B.V.;КИТАЙ;0;21999;0;1;Fall 2020;1
49;IG0IG00704;00-00000326;черный;8;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;83% Полиамид, 17% Эластан;;Calvin Klein Europe B.V.;КИТАЙ;0;21999;0;1;Fall 2020;1
50;IG0IG00647;00-00000328;розовый;16;;3;Calvin Klein;Одежда;Брюки;96% хлопок, 4% эластан;;Calvin Klein Europe B.V.;;0;8099;0;1;Fall 2020;1
51;IG0IG00647;00-00000328;розовый;8;;3;Calvin Klein;Одежда;Брюки;96% хлопок, 4% эластан;;Calvin Klein Europe B.V.;;0;8099;0;1;Fall 2020;1
52;IG0IG00380;00-00000330;зеленый;14;;3;Calvin Klein;Одежда;Футболка с коротким рукавом;100% Органический хлопок;;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;0;3299;0;1;Fall 2020;1
53;IG0IG00380;00-00000330;зеленый;16;;3;Calvin Klein;Одежда;Футболка с коротким рукавом;100% Органический хлопок;;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;0;3299;0;1;Fall 2020;1
54;IG0IG00380;00-00000330;зеленый;8;;3;Calvin Klein;Одежда;Футболка с коротким рукавом;100% Органический хлопок;;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;0;3299;0;1;Fall 2020;1
55;IB0IB00759;00-00000337;черный;8;;3;Calvin Klein;Верхняя одежда;Куртка пуховая;83% Полиамид, 17% Эластан;;Calvin Klein Europe B.V.;КИТАЙ;0;24999;0;1;Fall 2020;1
56;6406001;00-00000343;черный;31;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7900;0;2;;1
57;6406001;00-00000343;черный;32;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7900;0;2;;1
58;6406001;00-00000343;черный;33;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7900;0;1;;1
59;6406001;00-00000343;черный;34;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7900;0;2;;1
60;6406001;00-00000343;черный;35;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7900;0;1;;1
61;6406001;00-00000343;черный;36;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7900;0;1;;1
62;60428;00-00000344;хаки;31;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7000;0;1;;1
63;60428;00-00000344;черный;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7125;0;1;;1
64;60428;00-00000344;черный;38;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7125;0;1;;1
65;2003743;00-00000345;черный;31;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;6350;0;1;;1
66;2003743;00-00000345;черный;33;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;6350;0;1;;1
67;2003743;00-00000345;черный;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;6750;0;1;;1
68;2003743;00-00000345;черный;38;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;6750;0;2;;1
69;2003743;00-00000345;черный;39;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;6750;0;1;;1
70;2003743;00-00000345;черный;40;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;6750;0;2;;1
71;2003415-1;00-00000346;желтый;39;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;8125;0;1;;1
72;2003415-1;00-00000346;синий;31;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7750;0;2;;1
73;2003415-1;00-00000346;синий;32;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7750;0;1;;1
74;2003415-1;00-00000346;синий;33;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7750;0;1;;1
75;2003415-1;00-00000346;черный;31;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7750;0;2;;1
76;2003415-1;00-00000346;черный;32;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;7750;0;2;;1
77;2003415-1;00-00000346;черный;38;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;8125;0;1;;1
78;2003415-1;00-00000346;черный;40;;3;K.PAFI;Обувь;Детские кожаные ботинки для мальчика;;;;ТУРЦИЯ;0;8125;0;2;;1
79;6801080;00-00000349;серебряный счерным;32;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;1;;1
80;6801080;00-00000349;серебряный счерным;33;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;2;;1
81;6801080;00-00000349;серебряный счерным;34;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;1;;1
82;6801080;00-00000349;серебряный счерным;36;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;2;;1
83;6801080;00-00000349;серебряный счерным;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;2;;1
84;6801080;00-00000349;черный;32;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;2;;1
85;6801080;00-00000349;черный;33;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;1;;1
86;6801080;00-00000349;черный;34;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;1;;1
87;6801080;00-00000349;черный;36;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;2;;1
88;6801080;00-00000349;черный;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8500;0;2;;1
89;5208;00-00000350;черный;31;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;6925;0;2;;1
90;5208;00-00000350;черный;32;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;6925;0;1;;1
91;5208;00-00000350;черный;33;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;6925;0;1;;1
92;5208;00-00000350;черный;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;1;;1
93;5208;00-00000350;черный;38;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;1;;1
94;5208;00-00000350;черный;39;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;2;;1
95;5206;00-00000351;зеленый;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;4;;1
96;5206;00-00000351;зеленый;38;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;2;;1
97;5206;00-00000351;зеленый;39;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;2;;1
98;5206;00-00000351;черный;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;2;;1
99;5206;00-00000351;черный;38;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;2;;1
100;5206;00-00000351;черный;39;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;7325;0;1;;1
101;5201;00-00000352;зеленый;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8300;0;4;;1
102;5201;00-00000352;зеленый;38;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8300;0;4;;1
103;5201;00-00000352;зеленый;39;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8300;0;2;;1
104;5201;00-00000352;черный;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8300;0;2;;1
105;5201;00-00000352;черный;38;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;8300;0;1;;1
106;410845;00-00000353;серебряный;37;;3;K.PAFI;Обувь;Детские кожаные ботинки для девочки;;;;ТУРЦИЯ;0;6925;0;1;;1
