1;IU0IU00140;00-00000003;серебряный;OS;0;3;Calvin Klein;Аксессуары;Сумка кроссовер;100% полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;4999;0;1;Prefall 2020;1
2;IG0IG00605;00-00000008;серый;8;0;3;Calvin Klein;Одежда;Платье;73% хлопок, 27% полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;9299;0;1;Prefall 2020;1
3;IB0IB00347;00-00000014;белый;16;0;3;Calvin Klein;Одежда;Футболка с коротким рукавом;100% Органический хлопок;;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;0;3299;0;1;SS-21;1
4;IB0IB00347;00-00000014;белый;8;3;3;Calvin Klein;Одежда;Футболка с коротким рукавом;100% Органический хлопок;;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;0;3299;0;1;SS-21;1
5;IB0IB00347;00-00000014;синий;8;0;3;Calvin Klein;Одежда;Футболка с коротким рукавом;100% Органический хлопок;;Calvin Klein Europe B.V.;ШРИ-ЛАНКА;0;3148;0;1;SS-21;1
6;IG0IG00581;00-00000032;белый;8;0;3;Calvin Klein;Одежда;Толстовка-свитшот;100% Органический хлопок;;Calvin Klein Europe B.V.;ТУРЦИЯ;0;7999;0;1;Prefall 2020;1
7;IG0IG00583;00-00000038;черный;10;0;3;Calvin Klein;Одежда;Толстовка c капюшоном;50% Хлопок, 50% Полиэстер;;Calvin Klein Europe B.V.;ТУРЦИЯ;0;8999;0;1;Prefall 2020;1
8;IG0IG00583;00-00000038;черный;14;7;3;Calvin Klein;Одежда;Толстовка c капюшоном;50% Хлопок, 50% Полиэстер;;Calvin Klein Europe B.V.;ТУРЦИЯ;0;8999;0;1;Prefall 2020;1
9;IG0IG00583;00-00000038;черный;8;7;3;Calvin Klein;Одежда;Толстовка c капюшоном;50% Хлопок, 50% Полиэстер;;Calvin Klein Europe B.V.;ТУРЦИЯ;0;8999;0;1;Prefall 2020;1
10;IB0IB00557;00-00000041;желтый;12;0;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;20999;0;1;Prefall 2020;1
11;IB0IB00557;00-00000041;желтый;14;10;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;20999;0;1;Prefall 2020;1
12;IB0IB00557;00-00000041;желтый;16;10;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;20999;0;1;Prefall 2020;1
13;IB0IB00557;00-00000041;желтый;8;10;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;20999;0;1;Prefall 2020;1
14;IB0IB00557;00-00000041;зеленый;16;0;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;21999;0;1;Prefall 2020;1
15;IB0IB00557;00-00000041;черный;16;0;3;Calvin Klein;Верхняя одежда;Куртка пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;20999;0;1;Prefall 2020;1
16;IG0IG00596;00-00000045;черный;16;0;3;Calvin Klein;Верхняя одежда;Куртка;100% полиамид;;Calvin Klein Europe B.V.;КИТАЙ;0;26999;0;1;Prefall 2020;1
17;IG0IG00596;00-00000045;черный;8;16;3;Calvin Klein;Верхняя одежда;Куртка;100% полиамид;;Calvin Klein Europe B.V.;КИТАЙ;0;26999;0;1;Prefall 2020;1
18;IG0IG00590;00-00000048;белый;16;0;3;Calvin Klein;Верхняя одежда;Куртка;100% полиамид;;Calvin Klein Europe B.V.;КИТАЙ;0;19499;0;1;Prefall 2020;1
19;IB0IB00505;00-00000050;синий;10;0;3;Calvin Klein;Одежда;Джинсы слимы;74% Хлопок, 25% Полиэстер, 1% Эластан;;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
20;IB0IB00507;00-00000051;синий;14;0;3;Calvin Klein;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;;Calvin Klein Europe B.V.;;0;7499;0;1;Prefall 2020;1
21;IG0IG00546;00-00000053;синий;14;0;3;Calvin Klein;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
22;IG0IG00546;00-00000053;синий;16;21;3;Calvin Klein;Одежда;Джинсы скини;74% Хлопок, 25% Полиэстер, 1% Эластан;;Calvin Klein Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
23;IG0IG00551;00-00000056;синий;10;0;3;Calvin Klein;Одежда;Джинсы скини;98% хлопок, 2% эластан;;Calvin Klein Europe B.V.;;0;8499;0;1;Prefall 2020;1
24;IG0IG00551;00-00000056;синий;16;23;3;Calvin Klein;Одежда;Джинсы скини;98% хлопок, 2% эластан;;Calvin Klein Europe B.V.;;0;8499;0;1;Prefall 2020;1
25;IG0IG00551;00-00000056;синий;8;23;3;Calvin Klein;Одежда;Джинсы скини;98% хлопок, 2% эластан;;Calvin Klein Europe B.V.;;0;8499;0;1;Prefall 2020;1
26;IB0IB00558;00-00000068;черный;12;0;3;Calvin Klein;Верхняя одежда;Куртка парка;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;24599;0;1;Prefall 2020;1
27;IB0IB00558;00-00000068;черный;14;26;3;Calvin Klein;Верхняя одежда;Куртка парка;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;24599;0;1;Prefall 2020;1
28;IB0IB00558;00-00000068;черный;8;26;3;Calvin Klein;Верхняя одежда;Куртка парка;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;24599;0;2;Prefall 2020;1
29;IG0IG00594;00-00000072;черный;8;0;3;Calvin Klein;Верхняя одежда;Куртка пальто пуховая;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;24599;0;1;Prefall 2020;1
30;IB0IB00651;00-00000084;черный;16;0;3;Calvin Klein;Верхняя одежда;Жилет пуховой;100% переработанный полиэстер;;Calvin Klein Europe B.V.;КИТАЙ;0;13499;0;1;Fall 2020;1
31;KG0KG05198;00-00000121;голубой;10;0;3;Tommy Hilfiger;Одежда;Джинсы прямые;98% хлопок, 2% эластан;;Tommy Hilfiger Europe B.V.;;0;8599;0;1;Prefall 2020;1
32;KG0KG05198;00-00000121;голубой;14;31;3;Tommy Hilfiger;Одежда;Джинсы прямые;98% хлопок, 2% эластан;;Tommy Hilfiger Europe B.V.;;0;8599;0;1;Prefall 2020;1
33;KG0KG05198;00-00000121;голубой;16;31;3;Tommy Hilfiger;Одежда;Джинсы прямые;98% хлопок, 2% эластан;;Tommy Hilfiger Europe B.V.;;0;8599;0;1;Prefall 2020;1
34;KB0KB05786;00-00000124;синий;8;0;3;Tommy Hilfiger;Одежда;Джинсы слимы;79% Хлопок, 20% Переработанный хлопок, 1% Эластан;;Tommy Hilfiger Europe B.V.;;0;8499;0;1;Prefall 2020;1
35;KB0KB05784;00-00000134;голубой;8;0;3;Tommy Hilfiger;Одежда;Джинсы прямые;74% Хлопок, 25% Полиэстер, 1% Эластан;;Tommy Hilfiger Europe B.V.;БАНГЛАДЕШ;0;7499;0;1;Prefall 2020;1
36;KB0KB05884;00-00000135;зеленый;10;0;3;Tommy Hilfiger;Верхняя одежда;Куртка пуховая;100% полиамид;;Tommy Hilfiger Europe B.V.;КИТАЙ;0;19999;0;1;Prefall 2020;1
